2025-06-14 11:05:34 | BI_APP | INFO | logger:info:70 | Componentes principais do LlamaIndex carregados com sucesso
2025-06-14 11:05:34 | BI_APP | INFO | logger:info:70 | Biblioteca Ollama carregada com sucesso
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Biblioteca Groq carregada com sucesso
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Módulo RAG carregado
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Sistema de colaboração inicializado
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | SQLiteCache inicializado em: C:\Users\never\Desktop\BI-25-05\cache.sqlite
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Cache SQLiteCache inicializado
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | QueryManager initialized.
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Callbacks do Dashboard Builder registrados com sucesso
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Callbacks dos sistemas registrados com sucesso
2025-06-14 11:05:35 | BI_APP | INFO | logger:info:70 | Iniciando aplicação Dash
2025-06-14 11:05:43 | BI_APP | INFO | logger:info:70 | Componentes principais do LlamaIndex carregados com sucesso
2025-06-14 11:05:43 | BI_APP | INFO | logger:info:70 | Biblioteca Ollama carregada com sucesso
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Biblioteca Groq carregada com sucesso
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Módulo RAG carregado
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Sistema de colaboração inicializado
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | SQLiteCache inicializado em: C:\Users\never\Desktop\BI-25-05\cache.sqlite
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Cache SQLiteCache inicializado
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Chave de criptografia carregada de variável de ambiente ENCRYPTION_KEY (recomendado para produção)
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado com criptografia habilitada
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | ConfigManager inicializado
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | DatabaseManager inicializado
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | QueryManager initialized.
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Callbacks do Dashboard Builder registrados com sucesso
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Callbacks dos sistemas registrados com sucesso
2025-06-14 11:05:44 | BI_APP | INFO | logger:info:70 | Iniciando aplicação Dash
2025-06-14 11:19:24 | BI_APP | INFO | logger:info:70 | Chave de dados ativa definida: None
2025-06-14 11:19:24 | BI_APP | INFO | logger:info:70 | Navegação de página
2025-06-14 11:19:32 | BI_APP | INFO | logger:info:70 | Navegação de página
2025-06-14 11:19:33 | BI_APP | INFO | logger:info:70 | Chave de dados ativa definida: None
2025-06-14 11:19:37 | BI_APP | INFO | logger:info:70 | Conexão com banco de dados estabelecida
2025-06-14 11:19:38 | BI_APP | INFO | logger:info:70 | Chave de dados ativa definida: None
2025-06-14 11:19:43 | BI_APP | INFO | logger:info:70 | Query executada com sucesso
